[
# Temperature
"temperature_2m_season_mean_C",
"temperature_2m_max_season_max_C", # true extreme heat
"temperature_2m_min_season_min_C", # frost risk

# Water balance
"precipitation_season_sum_mm",
"et0_fao_evapotranspiration_season_sum_mm",

# Atmospheric stress
"vapour_pressure_deficit_season_mean_kPa",
"vapour_pressure_deficit_season_max_kPa",

# Soil moisture (root zone)
"soil_moisture_rootzone_mean_m3m3",
"soil_moisture_rootzone_min_m3m3",

# Solar energy
"shortwave_radiation_season_sum_MJ_m2",

# Wind
"wind_gusts_10m_season_max_mps",

# Outputs
"projected_yield_t_ha",
"climate_risk_score"
]

[
# Temperature
"temperature_2m_season_mean_C",
"temperature_2m_max_season_max_C", # true extreme heat
"temperature_2m_min_season_min_C", # frost risk

# Water balance
"precipitation_season_sum_mm",
"et0_fao_evapotranspiration_season_sum_mm",

# Atmospheric stress
"vapour_pressure_deficit_season_mean_kPa",
"vapour_pressure_deficit_season_max_kPa",

# Soil moisture (root zone)
"soil_moisture_rootzone_mean_m3m3",
"soil_moisture_rootzone_min_m3m3",

# Solar energy
"shortwave_radiation_season_sum_MJ_m2",

# Wind
"wind_gusts_10m_season_max_mps",

# Outputs
"projected_yield_t_ha",
"climate_risk_score"
]

data = [
[18.5, 38.2, 4.1, 240.0, 920.0, 1.8, 3.6, 0.22, 0.14, 6900.0, 21.3],
[19.1, 40.5, 3.2, 210.0, 980.0, 2.2, 4.1, 0.19, 0.12, 7200.0, 24.7],
[17.8, 35.4, 5.0, 260.0, 880.0, 1.6, 3.2, 0.25, 0.16, 6700.0, 19.8],
[20.3, 42.1, 2.8, 190.0, 1020.0, 2.5, 4.8, 0.17, 0.1, 7500.0, 26.1],
[16.9, 33.7, 6.3, 280.0, 850.0, 1.4, 2.9, 0.27, 0.18, 6400.0, 18.5],
[21.4, 44.8, 1.9, 170.0, 1050.0, 2.9, 5.2, 0.15, 0.09, 7800.0, 27.4],
[18.0, 36.9, 4.8, 250.0, 910.0, 1.7, 3.4, 0.23, 0.15, 7000.0, 20.6],
[22.1, 46.3, 1.5, 160.0, 1100.0, 3.1, 5.8, 0.13, 0.08, 8000.0, 28.2],
[15.7, 31.2, 7.1, 300.0, 820.0, 1.2, 2.5, 0.29, 0.2, 6200.0, 17.3],
[19.6, 39.8, 3.7, 220.0, 960.0, 2.0, 3.9, 0.2, 0.13, 7300.0, 23.5],
[18.9, 37.5, 4.4, 245.0, 905.0, 1.9, 3.7, 0.21, 0.14, 6950.0, 22.0],
[20.8, 43.6, 2.4, 180.0, 1035.0, 2.7, 4.9, 0.16, 0.1, 7650.0, 26.8],
[17.2, 34.1, 5.8, 270.0, 870.0, 1.5, 3.0, 0.26, 0.17, 6550.0, 19.1],
[19.9, 41.0, 3.0, 205.0, 990.0, 2.3, 4.2, 0.18, 0.11, 7400.0, 25.0],
[16.4, 32.6, 6.7, 290.0, 835.0, 1.3, 2.7, 0.28, 0.19, 6300.0, 18.0],
